MSA,MSA_cities,MSA_states,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_30,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_30,Annual_Administrative_Cost_30,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Households_Served_Expected_to_Use_Voucher_50,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_50,Annual_Administrative_Cost_50,Voucher_Gap_30,Voucher_Gap_50
"Orlando-Kissimmee-Sanford, FL",Orlando-Kissimmee-Sanford,FL,"61,059",61059,"$50,568,576 ","$606,822,912 ","6,829",6829,"$7,450,439 ","$89,405,268 ","21,863",21863,"$200,721,552 ","$286,229,344 ","$1,091 ","$18,666,780 ","106,339",106339,"$75,544,936 ","$906,539,232 ","6,829",6829,"$7,450,439 ","$89,405,268 ","38,201",38201,"$304,354,784 ","$500,128,864 ","$1,091 ","$32,616,486 ",54230,99510
"Oshkosh-Neenah, WI",Oshkosh-Neenah,WI,"5,573",5573,"$2,199,156 ","$26,389,872 ",510,510,"$217,260 ","$2,607,120 ","1,995",1995,"$8,684,704 ","$10,200,753 ",$426 ,"$1,703,737 ","10,397",10397,"$3,660,018 ","$43,920,216 ",510,510,"$217,260 ","$2,607,120 ","3,894",3894,"$15,134,367 ","$19,906,628 ",$426 ,"$3,324,820 ",5063,9887
"Owensboro, KY",Owensboro,KY,"3,976",3976,"$1,700,982 ","$20,411,784 ",465,465,"$209,250 ","$2,511,000 ","1,485",1485,"$6,924,939 ","$8,020,327 ",$450 ,"$1,268,118 ","5,952",5952,"$2,346,030 ","$28,152,360 ",465,465,"$209,250 ","$2,511,000 ","2,255",2255,"$9,820,457 ","$12,176,307 ",$450 ,"$1,925,232 ",3511,5487
"Oxnard-Thousand Oaks-Ventura, CA",Oxnard-Thousand Oaks-Ventura,CA,"20,056",20056,"$19,148,018 ","$229,776,216 ","7,092",7092,"$8,063,604 ","$96,763,248 ","5,591",5591,"$58,040,488 ","$76,280,152 ","$1,137 ","$4,773,436 ","37,289",37289,"$32,674,904 ","$392,098,848 ","7,092",7092,"$8,063,604 ","$96,763,248 ","9,844",9844,"$97,006,464 ","$134,314,256 ","$1,137 ","$8,405,077 ",12964,30197
"Palm Bay-Melbourne-Titusville, FL",Palm Bay-Melbourne-Titusville,FL,"10,550",10550,"$7,025,035 ","$84,300,420 ","2,953",2953,"$2,264,951 ","$27,179,412 ","4,220",4220,"$29,697,398 ","$38,838,644 ",$767 ,"$3,602,871 ","18,874",18874,"$10,918,009 ","$131,016,108 ","2,953",2953,"$2,264,951 ","$27,179,412 ","7,647",7647,"$47,862,352 ","$70,380,392 ",$767 ,"$6,528,844 ",7597,15921
"Parkersburg-Vienna, WV",Parkersburg-Vienna,WV,"3,217",3217,"$1,408,211 ","$16,898,532 ","1,189",1189,"$576,665 ","$6,919,980 ","1,255",1255,"$5,325,386 ","$7,302,050 ",$485 ,"$1,071,231 ","4,731",4731,"$1,794,499 ","$21,533,988 ","1,189",1189,"$576,665 ","$6,919,980 ","1,887",1887,"$7,110,113 ","$10,983,574 ",$485 ,"$1,611,321 ",2028,3542
"Pensacola-Ferry Pass-Brent, FL",Pensacola-Ferry Pass-Brent,FL,"10,760",10760,"$6,620,841 ","$79,450,092 ","2,699",2699,"$1,935,183 ","$23,222,196 ","4,110",4110,"$27,411,228 ","$35,363,616 ",$717 ,"$3,509,276 ","18,828",18828,"$9,491,585 ","$113,899,020 ","2,699",2699,"$1,935,183 ","$23,222,196 ","7,302",7302,"$39,849,464 ","$62,828,020 ",$717 ,"$6,234,681 ",8061,16129
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,"212,868",212868,"$149,570,944 ","$1,794,851,328 ","48,811",48811,"$38,951,178 ","$467,414,136 ","49,679",49679,"$379,912,704 ","$475,721,920 ",$798 ,"$42,416,052 ","331,602",331602,"$208,681,520 ","$2,504,178,240 ","48,811",48811,"$38,951,178 ","$467,414,136 ","77,169",77169,"$539,655,104 ","$738,965,888 ",$798 ,"$65,887,264 ",164057,282791
"Phoenix-Mesa-Scottsdale, AZ",Phoenix-Mesa-Scottsdale,AZ,"116,605",116605,"$81,232,840 ","$974,794,080 ","14,675",14675,"$13,266,200 ","$159,194,400 ","51,142",51142,"$391,617,952 ","$554,786,368 ",$904 ,"$43,665,388 ","193,630",193630,"$117,375,048 ","$1,408,500,576 ","14,675",14675,"$13,266,200 ","$159,194,400 ","85,178",85178,"$577,220,672 ","$924,015,296 ",$904 ,"$72,726,168 ",101930,178955
"Pittsburgh, PA",Pittsburgh,PA,"79,008",79008,"$38,183,632 ","$458,203,584 ","20,645",20645,"$11,912,165 ","$142,945,980 ","25,236",25236,"$127,653,240 ","$174,730,640 ",$577 ,"$21,546,328 ","130,422",130422,"$57,592,104 ","$691,105,248 ","20,645",20645,"$11,912,165 ","$142,945,980 ","42,120",42120,"$200,804,912 ","$291,641,472 ",$577 ,"$35,962,796 ",58363,109777
"Pittsfield, MA",Pittsfield,MA,"5,655",5655,"$2,776,191 ","$33,314,292 ","1,882",1882,"$1,099,088 ","$13,189,056 ","2,211",2211,"$11,562,166 ","$15,492,039 ",$584 ,"$1,887,451 ","8,632",8632,"$3,708,450 ","$44,501,400 ","1,882",1882,"$1,099,088 ","$13,189,056 ","3,423",3423,"$15,836,455 ","$23,991,094 ",$584 ,"$2,922,922 ",3773,6750
"Port St. Lucie, FL",Port St. Lucie,FL,"8,745",8745,"$6,034,381 ","$72,412,572 ",938,938,"$663,166 ","$7,957,992 ","3,311",3311,"$25,650,222 ","$28,091,456 ",$707 ,"$2,827,059 ","14,244",14244,"$9,221,425 ","$110,657,100 ",938,938,"$663,166 ","$7,957,992 ","5,628",5628,"$41,231,328 ","$47,745,540 ",$707 ,"$4,805,000 ",6672,16018
"Portland-South Portland, ME",Portland-South Portland,ME,"12,537",12537,"$6,663,973 ","$79,967,676 ","5,865",5865,"$5,131,875 ","$61,582,500 ","5,027",5027,"$27,410,806 ","$52,786,708 ",$875 ,"$4,292,364 ","21,883",21883,"$10,405,809 ","$124,869,708 ","5,865",5865,"$5,131,875 ","$61,582,500 ","8,921",8921,"$44,785,516 ","$93,669,080 ",$875 ,"$7,616,724 ",48736,104420
"Portland-Vancouver-Hillsboro, OR-WA",Portland-Vancouver-Hillsboro,OR-WA,"70,484",70484,"$53,738,372 ","$644,860,464 ","21,748",21748,"$19,877,672 ","$238,532,064 ","27,201",27201,"$232,604,432 ","$298,336,704 ",$914 ,"$23,224,186 ","126,168",126168,"$83,611,576 ","$1,003,338,912 ","21,748",21748,"$19,877,672 ","$238,532,064 ","47,703",47703,"$361,676,032 ","$523,206,560 ",$914 ,"$40,729,300 ",7807,13306
"Prescott, AZ",Prescott,AZ,"5,840",5840,"$3,596,142 ","$43,153,704 ",,, $-   ,#VALUE!,"2,413",2413,"$16,919,296 ", $-   ,,"$2,059,907 ","9,820",9820,"$5,197,074 ","$62,364,888 ",,, $-   ,#VALUE!,"4,216",4216,"$24,851,898 ", $-   ,,"$3,599,336 ",5840,9820
"Providence-Warwick, RI-MA",Providence-Warwick,RI-MA,"69,927",69927,"$35,752,560 ","$429,030,720 ","17,965",17965,"$14,497,755 ","$173,973,060 ","27,653",27653,"$151,301,424 ","$267,794,720 ",$807 ,"$23,610,678 ","111,393",111393,"$53,991,068 ","$647,892,816 ","17,965",17965,"$14,497,755 ","$173,973,060 ","43,957",43957,"$234,542,448 ","$425,680,064 ",$807 ,"$37,530,968 ",51962,93428
"Provo-Orem, UT",Provo-Orem,UT,"10,650",10650,"$7,363,760 ","$88,365,120 ","1,962",1962,"$1,314,540 ","$15,774,480 ","3,717",3717,"$28,993,560 ","$29,881,760 ",$670 ,"$3,173,302 ","19,907",19907,"$11,111,734 ","$133,340,808 ","1,962",1962,"$1,314,540 ","$15,774,480 ","6,732",6732,"$44,098,656 ","$54,122,664 ",$670 ,"$5,747,571 ",8688,17945
"Pueblo, CO",Pueblo,CO,"7,343",7343,"$3,760,331 ","$45,123,972 ","1,985",1985,"$1,282,310 ","$15,387,720 ","2,652",2652,"$14,859,366 ","$20,560,238 ",$646 ,"$2,264,517 ","10,742",10742,"$4,865,558 ","$58,386,696 ","1,985",1985,"$1,282,310 ","$15,387,720 ","4,017",4017,"$20,010,472 ","$31,137,916 ",$646 ,"$3,429,549 ",5358,8757
"Punta Gorda, FL",Punta Gorda,FL,"2,386",2386,"$1,759,209 ","$21,110,508 ",311,311,"$226,097 ","$2,713,164 ","1,008",1008,"$7,849,959 ","$8,793,494 ",$727 ,"$860,611 ","4,250",4250,"$2,693,964 ","$32,327,568 ",311,311,"$226,097 ","$2,713,164 ","1,885",1885,"$12,946,324 ","$16,441,103 ",$727 ,"$1,609,076 ",2075,3939
"Racine, WI",Racine,WI,"6,437",6437,"$3,460,630 ","$41,527,560 ","1,703",1703,"$917,917 ","$11,015,004 ","2,374",2374,"$14,728,524 ","$15,352,088 ",$539 ,"$2,026,556 ","11,586",11586,"$5,248,058 ","$62,976,696 ","1,703",1703,"$917,917 ","$11,015,004 ","4,346",4346,"$22,763,982 ","$28,111,934 ",$539 ,"$3,710,923 ",4734,9883
"Raleigh, NC",Raleigh,NC,"38,815",38815,"$23,013,386 ","$276,160,632 ","5,300",5300,"$3,837,200 ","$46,046,400 ","14,672",14672,"$94,516,632 ","$127,466,816 ",$724 ,"$12,526,754 ","70,338",70338,"$36,548,820 ","$438,585,840 ","5,300",5300,"$3,837,200 ","$46,046,400 ","25,856",25856,"$150,404,080 ","$224,636,080 ",$724 ,"$22,076,026 ",33515,65038
"Reading, PA",Reading,PA,"11,350",11350,"$5,934,351 ","$71,212,212 ","1,313",1313,"$919,100 ","$11,029,200 ","4,226",4226,"$24,507,282 ","$35,499,400 ",$700 ,"$3,608,303 ","19,419",19419,"$8,964,066 ","$107,568,792 ","1,313",1313,"$919,100 ","$11,029,200 ","7,499",7499,"$38,411,428 ","$62,994,288 ",$700 ,"$6,402,995 ",10037,18106
"Redding, CA",Redding,CA,"6,056",6056,"$3,544,262 ","$42,531,144 ","2,401",2401,"$1,164,485 ","$13,973,820 ","2,302",2302,"$14,789,253 ","$13,399,921 ",$485 ,"$1,965,805 ","9,367",9367,"$5,099,574 ","$61,194,888 ","2,401",2401,"$1,164,485 ","$13,973,820 ","3,673",3673,"$22,290,612 ","$21,379,398 ",$485 ,"$3,136,416 ",3655,6966
"Reno, NV",Reno,NV,"14,174",14174,"$8,333,493 ","$100,001,916 ","2,830",2830,"$1,794,220 ","$21,530,640 ","5,407",5407,"$35,491,928 ","$41,135,924 ",$634 ,"$4,616,491 ","25,989",25989,"$13,228,169 ","$158,738,028 ","2,830",2830,"$1,794,220 ","$21,530,640 ","9,826",9826,"$56,834,216 ","$74,757,472 ",$634 ,"$8,389,679 ",11344,23159
"Richmond, VA",Richmond,VA,"38,661",38661,"$24,781,736 ","$297,380,832 ","7,726",7726,"$5,840,856 ","$70,090,272 ","14,529",14529,"$103,047,016 ","$131,803,192 ",$756 ,"$12,404,639 ","65,955",65955,"$37,096,200 ","$445,154,400 ","7,726",7726,"$5,840,856 ","$70,090,272 ","24,853",24853,"$155,837,552 ","$225,469,856 ",$756 ,"$21,220,064 ",30935,58229
"Riverside-San Bernardino-Ontario, CA",Riverside-San Bernardino-Ontario,CA,"111,592",111592,"$88,475,248 ","$1,061,702,976 ","21,077",21077,"$17,409,602 ","$208,915,224 ","40,788",40788,"$354,866,208 ","$404,291,520 ",$826 ,"$34,825,276 ","177,623",177623,"$126,505,096 ","$1,518,061,152 ","21,077",21077,"$17,409,602 ","$208,915,224 ","66,096",66096,"$519,444,512 ","$655,140,224 ",$826 ,"$56,433,140 ",90515,156546
"Roanoke, VA",Roanoke,VA,"11,472",11472,"$5,510,895 ","$66,130,740 ","2,285",2285,"$1,434,980 ","$17,219,760 ","4,196",4196,"$22,544,200 ","$31,621,580 ",$628 ,"$3,582,646 ","17,382",17382,"$7,746,015 ","$92,952,180 ","2,285",2285,"$1,434,980 ","$17,219,760 ","6,584",6584,"$33,241,664 ","$49,615,208 ",$628 ,"$5,621,280 ",9187,15097
"Rochester, NY",Rochester,NY,"41,586",41586,"$22,588,912 ","$271,066,944 ","13,515",13515,"$8,960,445 ","$107,525,340 ","15,341",15341,"$93,079,744 ","$122,054,240 ",$663 ,"$13,098,433 ","66,749",66749,"$32,674,112 ","$392,089,344 ","13,515",13515,"$8,960,445 ","$107,525,340 ","25,268",25268,"$140,794,256 ","$201,034,512 ",$663 ,"$21,574,318 ",28071,53234
"Rockford, IL",Rockford,IL,"11,638",11638,"$5,556,478 ","$66,677,736 ","3,056",3056,"$1,509,664 ","$18,115,968 ","4,174",4174,"$21,510,528 ","$24,745,086 ",$494 ,"$3,564,036 ","18,047",18047,"$7,981,882 ","$95,782,584 ","3,056",3056,"$1,509,664 ","$18,115,968 ","6,761",6761,"$33,410,128 ","$40,076,708 ",$494 ,"$5,772,250 ",8582,14991
"Rocky Mount, NC",Rocky Mount,NC,"5,605",5605,"$2,200,552 ","$26,406,624 ",893,893,"$412,566 ","$4,950,792 ","2,391",2391,"$9,178,223 ","$13,256,747 ",$462 ,"$2,041,620 ","7,629",7629,"$2,780,640 ","$33,367,680 ",893,893,"$412,566 ","$4,950,792 ","3,326",3326,"$12,056,906 ","$18,436,706 ",$462 ,"$2,839,366 ",4712,6736
"Sacramento--Roseville--Arden-Arcade, CA",Sacramento--Roseville--Arden-Arcade,CA,"77,103",77103,"$60,616,944 ","$727,403,328 ","15,668",15668,"$13,991,524 ","$167,898,288 ","33,672",33672,"$291,597,504 ","$360,827,520 ",$893 ,"$28,749,360 ","127,757",127757,"$87,677,496 ","$1,052,129,952 ","15,668",15668,"$13,991,524 ","$167,898,288 ","55,242",55242,"$426,241,536 ","$591,972,608 ",$893 ,"$47,166,120 ",61435,112089
"Saginaw, MI",Saginaw,MI,"6,788",6788,"$3,041,814 ","$36,501,768 ","2,018",2018,"$986,802 ","$11,841,624 ","2,441",2441,"$11,869,623 ","$14,324,310 ",$489 ,"$2,084,226 ","9,468",9468,"$3,897,768 ","$46,773,216 ","2,018",2018,"$986,802 ","$11,841,624 ","3,454",3454,"$15,755,355 ","$20,269,784 ",$489 ,"$2,949,309 ",4770,7450
"Salinas, CA",Salinas,CA,"12,521",12521,"$10,533,889 ","$126,406,668 ","4,545",4545,"$5,090,400 ","$61,084,800 ","4,674",4674,"$42,955,336 ","$62,818,440 ","$1,120 ","$3,990,700 ","24,189",24189,"$18,156,510 ","$217,878,120 ","4,545",4545,"$5,090,400 ","$61,084,800 ","8,652",8652,"$73,038,680 ","$116,289,184 ","$1,120 ","$7,387,565 ",2448,4311
"Salisbury, MD-DE",Salisbury,MD-DE,"9,390",9390,"$5,397,635 ","$64,771,620 ","1,451",1451,"$1,049,073 ","$12,588,876 ","3,580",3580,"$21,570,908 ","$31,062,022 ",$723 ,"$3,056,831 ","16,304",16304,"$8,424,465 ","$101,093,580 ","1,451",1451,"$1,049,073 ","$12,588,876 ","6,314",6314,"$34,236,416 ","$54,784,008 ",$723 ,"$5,391,325 ",2369,4879
"Salt Lake City, UT",Salt Lake City,UT,"23,189",23189,"$14,341,856 ","$172,102,272 ","6,464",6464,"$5,184,128 ","$62,209,536 ","8,637",8637,"$58,031,120 ","$83,118,232 ",$802 ,"$7,373,980 ","40,406",40406,"$22,061,160 ","$264,733,920 ","6,464",6464,"$5,184,128 ","$62,209,536 ","14,817",14817,"$89,739,272 ","$142,599,984 ",$802 ,"$12,651,007 ",55676,103710
"San Angelo, TX",San Angelo,TX,"2,623",2623,"$1,214,885 ","$14,578,620 ",832,832,"$457,600 ","$5,491,200 ","1,017",1017,"$4,690,075 ","$6,709,909 ",$550 ,"$868,028 ","4,711",4711,"$2,043,031 ","$24,516,372 ",832,832,"$457,600 ","$5,491,200 ","1,862",1862,"$8,233,819 ","$12,292,202 ",$550 ,"$1,590,183 ",7976,19644
"San Antonio-New Braunfels, TX",San Antonio-New Braunfels,TX,"63,799",63799,"$36,342,288 ","$436,107,456 ","16,965",16965,"$11,213,865 ","$134,566,380 ","23,902",23902,"$144,548,352 ","$189,590,272 ",$661 ,"$20,407,724 ","104,137",104137,"$53,050,300 ","$636,603,600 ","16,965",16965,"$11,213,865 ","$134,566,380 ","38,488",38488,"$212,875,744 ","$305,287,712 ",$661 ,"$32,861,532 ",7939,14853
"San Diego-Carlsbad, CA",San Diego-Carlsbad,CA,"120,285",120285,"$117,922,200 ","$1,415,066,400 ","31,412",31412,"$30,595,288 ","$367,143,456 ","58,069",58069,"$631,116,992 ","$678,713,920 ",$974 ,"$49,580,140 ","212,827",212827,"$186,366,096 ","$2,236,393,152 ","31,412",31412,"$30,595,288 ","$367,143,456 ","99,067",99067,"$984,831,104 ","$1,157,896,064 ",$974 ,"$84,584,472 ",16725,33942
"San Francisco-Oakland-Hayward, CA",San Francisco-Oakland-Hayward,CA,"175,883",175883,"$164,242,240 ","$1,970,906,880 ","56,721",56721,"$104,253,198 ","$1,251,038,376 ","38,584",38584,"$387,844,672 ","$851,019,648 ","$1,838 ","$32,943,826 ","276,025",276025,"$243,526,096 ","$2,922,313,152 ","56,721",56721,"$104,253,198 ","$1,251,038,376 ","58,093",58093,"$568,197,120 ","$1,281,308,672 ","$1,838 ","$49,600,748 ",1791,3879
"San Jose-Sunnyvale-Santa Clara, CA",San Jose-Sunnyvale-Santa Clara,CA,"41,956",41956,"$48,313,968 ","$579,767,616 ","18,977",18977,"$35,809,599 ","$429,715,188 ","17,536",17536,"$217,972,064 ","$397,080,448 ","$1,887 ","$14,972,234 ","72,864",72864,"$77,804,696 ","$933,656,352 ","18,977",18977,"$35,809,599 ","$429,715,188 ","28,759",28759,"$340,669,792 ","$651,225,216 ","$1,887 ","$24,554,964 ",46834,87172
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",San Luis Obispo-Paso Robles-Arroyo Grande,CA,"9,329",9329,"$9,606,548 ","$115,278,576 ","2,423",2423,"$2,350,310 ","$28,203,720 ","3,412",3412,"$40,207,760 ","$39,712,968 ",$970 ,"$2,913,001 ","15,156",15156,"$13,610,858 ","$163,330,296 ","2,423",2423,"$2,350,310 ","$28,203,720 ","5,535",5535,"$57,595,388 ","$64,425,804 ",$970 ,"$4,725,721 ",88873,181415
"Santa Cruz-Watsonville, CA",Santa Cruz-Watsonville,CA,"12,259",12259,"$12,771,853 ","$153,262,236 ","4,854",4854,"$7,732,422 ","$92,789,064 ","4,658",4658,"$52,938,604 ","$89,040,688 ","$1,593 ","$3,976,974 ","18,804",18804,"$17,245,988 ","$206,951,856 ","4,854",4854,"$7,732,422 ","$92,789,064 ","7,153",7153,"$73,954,784 ","$136,738,240 ","$1,593 ","$6,107,370 ",119162,219304
"Santa Fe, NM",Santa Fe,NM,"3,492",3492,"$2,072,698 ","$24,872,376 ","1,109",1109,"$784,063 ","$9,408,756 ","1,445",1445,"$9,229,788 ","$12,259,714 ",$707 ,"$1,233,789 ","6,007",6007,"$3,308,477 ","$39,701,724 ","1,109",1109,"$784,063 ","$9,408,756 ","2,417",2417,"$14,564,141 ","$20,506,832 ",$707 ,"$2,063,760 ",22979,53887
"Santa Maria-Santa Barbara, CA",Santa Maria-Santa Barbara,CA,"17,236",17236,"$15,837,556 ","$190,050,672 ","6,845",6845,"$8,864,275 ","$106,371,300 ","6,709",6709,"$71,526,992 ","$104,263,456 ","$1,295 ","$5,728,519 ","30,890",30890,"$25,382,596 ","$304,591,152 ","6,845",6845,"$8,864,275 ","$106,371,300 ","11,801",11801,"$114,273,328 ","$183,385,632 ","$1,295 ","$10,075,707 ",6906,12733
"Santa Rosa, CA",Santa Rosa,CA,"13,896",13896,"$12,565,715 ","$150,788,580 ","4,930",4930,"$5,930,790 ","$71,169,480 ","5,848",5848,"$55,648,440 ","$84,421,504 ","$1,203 ","$4,993,068 ","26,069",26069,"$20,609,116 ","$247,309,392 ","4,930",4930,"$5,930,790 ","$71,169,480 ","10,491",10491,"$90,297,856 ","$151,443,920 ","$1,203 ","$8,957,074 ",7405,13950
"Scranton--Wilkes-Barre--Hazleton, PA",Scranton--Wilkes-Barre--Hazleton,PA,"17,773",17773,"$8,663,700 ","$103,964,400 ","5,039",5039,"$2,625,319 ","$31,503,828 ","6,843",6843,"$35,463,808 ","$42,781,912 ",$521 ,"$5,842,551 ","27,601",27601,"$12,028,708 ","$144,344,496 ","5,039",5039,"$2,625,319 ","$31,503,828 ","11,128",11128,"$51,447,844 ","$69,574,432 ",$521 ,"$9,501,495 ",2383,4898
"Seattle-Tacoma-Bellevue, WA",Seattle-Tacoma-Bellevue,WA,"126,070",126070,"$100,730,168 ","$1,208,762,016 ","37,481",37481,"$41,191,619 ","$494,299,428 ","62,550",62550,"$542,189,952 ","$824,912,256 ","$1,099 ","$53,406,000 ","221,162",221162,"$156,769,952 ","$1,881,239,424 ","37,481",37481,"$41,191,619 ","$494,299,428 ","105,696",105696,"$837,852,224 ","$1,393,917,312 ","$1,099 ","$90,244,200 ",10391,24045
"Sebastian-Vero Beach, FL",Sebastian-Vero Beach,FL,"2,189",2189,"$1,434,639 ","$17,215,668 ",389,389,"$214,339 ","$2,572,068 ",912,912,"$6,655,012 ","$6,029,646 ",$551 ,"$778,610 ","4,451",4451,"$2,299,174 ","$27,590,088 ",389,389,"$214,339 ","$2,572,068 ","1,862",1862,"$10,869,450 ","$12,314,825 ",$551 ,"$1,590,218 ",8966,21139
"Sheboygan, WI",Sheboygan,WI,"2,375",2375,"$976,858 ","$11,722,296 ",361,361,"$178,334 ","$2,140,008 ",881,881,"$4,043,938 ","$5,225,507 ",$494 ,"$752,630 ","5,642",5642,"$1,880,982 ","$22,571,784 ",361,361,"$178,334 ","$2,140,008 ","2,241",2241,"$8,406,584 ","$13,284,459 ",$494 ,"$1,913,361 ",12734,22562
"Shreveport-Bossier City, LA",Shreveport-Bossier City,LA,"19,304",19304,"$8,965,757 ","$107,589,084 ","5,036",5036,"$2,598,576 ","$31,182,912 ","7,195",7195,"$34,926,676 ","$44,550,772 ",$516 ,"$6,143,071 ","26,404",26404,"$11,586,098 ","$139,033,176 ","5,036",5036,"$2,598,576 ","$31,182,912 ","10,102",10102,"$46,786,408 ","$62,554,232 ",$516 ,"$8,625,554 ",88589,183681
"Spartanburg, SC",Spartanburg,SC,"7,922",7922,"$4,154,425 ","$49,853,100 ","2,582",2582,"$1,371,042 ","$16,452,504 ","3,071",3071,"$16,864,472 ","$19,569,578 ",$531 ,"$2,622,207 ","12,035",12035,"$5,453,124 ","$65,437,488 ","2,582",2582,"$1,371,042 ","$16,452,504 ","4,816",4816,"$22,980,882 ","$30,688,430 ",$531 ,"$4,112,067 ",1800,4062
"Spokane-Spokane Valley, WA",Spokane-Spokane Valley,WA,"20,128",20128,"$10,559,443 ","$126,713,316 ","4,914",4914,"$2,604,420 ","$31,253,040 ","7,416",7416,"$42,150,964 ","$47,165,424 ",$530 ,"$6,331,811 ","32,510",32510,"$14,895,194 ","$178,742,328 ","4,914",4914,"$2,604,420 ","$31,253,040 ","12,328",12328,"$61,846,128 ","$78,406,800 ",$530 ,"$10,525,866 ",2014,5281
"Springfield, IL",Springfield,IL,"7,656",7656,"$3,847,446 ","$46,169,352 ","2,491",2491,"$1,392,469 ","$16,709,628 ","2,770",2770,"$15,213,798 ","$18,581,100 ",$559 ,"$2,365,046 ","12,268",12268,"$5,555,437 ","$66,665,244 ","2,491",2491,"$1,392,469 ","$16,709,628 ","4,548",4548,"$22,985,976 ","$30,510,324 ",$559 ,"$3,883,426 ",14268,21368
"Springfield, MA",Springfield,MA,"30,968",30968,"$15,054,918 ","$180,659,016 ","12,843",12843,"$7,872,759 ","$94,473,108 ","11,935",11935,"$63,097,424 ","$87,790,504 ",$613 ,"$10,189,832 ","47,401",47401,"$22,232,614 ","$266,791,368 ","12,843",12843,"$7,872,759 ","$94,473,108 ","17,937",17937,"$94,281,224 ","$131,944,816 ",$613 ,"$15,314,818 ",5340,9453
"Springfield, MO",Springfield,MO,"15,121",15121,"$7,070,813 ","$84,849,756 ","1,316",1316,"$515,872 ","$6,190,464 ","5,419",5419,"$28,063,994 ","$25,490,738 ",$392 ,"$4,626,754 ","25,479",25479,"$10,047,817 ","$120,573,804 ","1,316",1316,"$515,872 ","$6,190,464 ","9,445",9445,"$41,275,824 ","$44,431,176 ",$392 ,"$8,064,580 ",15214,27596
"Springfield, OH",Springfield,OH,"4,175",4175,"$1,797,503 ","$21,570,036 ","1,309",1309,"$579,887 ","$6,958,644 ","1,521",1521,"$7,449,820 ","$8,084,911 ",$443 ,"$1,298,529 ","7,354",7354,"$2,747,219 ","$32,966,628 ","1,309",1309,"$579,887 ","$6,958,644 ","2,860",2860,"$11,923,522 ","$15,206,227 ",$443 ,"$2,442,293 ",5165,9777
"St. George, UT",St. George,UT,"2,702",2702,"$1,757,081 ","$21,084,972 ",254,254,"$164,592 ","$1,975,104 ","1,088",1088,"$7,320,872 ","$8,463,982 ",$648 ,"$929,351 ","4,565",4565,"$2,458,078 ","$29,496,936 ",254,254,"$164,592 ","$1,975,104 ","1,818",1818,"$10,262,222 ","$14,135,949 ",$648 ,"$1,552,137 ",18125,34558
"St. Joseph, MO-KS",St. Joseph,MO-KS,"3,513",3513,"$1,500,004 ","$18,000,048 ","1,144",1144,"$520,520 ","$6,246,240 ","1,291",1291,"$5,850,210 ","$7,050,991 ",$455 ,"$1,102,602 ","6,023",6023,"$2,229,192 ","$26,750,304 ","1,144",1144,"$520,520 ","$6,246,240 ","2,430",2430,"$9,343,761 ","$13,268,933 ",$455 ,"$2,074,936 ",13805,24163
"St. Louis, MO-IL",St. Louis,MO-IL,"77,739",77739,"$43,056,224 ","$516,674,688 ","22,063",22063,"$13,877,627 ","$166,531,524 ","21,814",21814,"$131,458,416 ","$164,653,440 ",$629 ,"$18,625,166 ","125,773",125773,"$60,693,740 ","$728,324,880 ","22,063",22063,"$13,877,627 ","$166,531,524 ","36,208",36208,"$193,661,632 ","$273,300,352 ",$629 ,"$30,915,020 ",2866,6045
"State College, PA",State College,PA,"7,721",7721,"$6,278,458 ","$75,341,496 ",675,675,"$415,125 ","$4,981,500 ","2,800",2800,"$25,793,824 ","$20,663,538 ",$615 ,"$2,390,615 ","12,447",12447,"$8,691,260 ","$104,295,120 ",675,675,"$415,125 ","$4,981,500 ","4,585",4585,"$35,905,392 ","$33,835,784 ",$615 ,"$3,914,543 ",7046,11772
