MSA,MSA_cities,MSA_states,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_30,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_30,Annual_Administrative_Cost_30,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Households_Served_Expected_to_Use_Voucher_50,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_50,Annual_Administrative_Cost_50,Voucher_Gap_30,Voucher_Gap_50
"Charlotte-Concord-Gastonia, NC-SC",Charlotte-Concord-Gastonia,NC-SC,"69,352",69352,"$39,920,168 ","$479,042,016 ","14,554",14554,"$9,227,236 ","$110,726,832 ","26,471",26471,"$160,447,984 ","$201,388,848 ",$634 ,"$22,600,922 ","122,505",122505,"$61,987,572 ","$743,850,864 ","14,554",14554,"$9,227,236 ","$110,726,832 ","46,177",46177,"$254,524,960 ","$351,311,008 ",$634 ,"$39,425,980 ",54798,107951
"Chattanooga, TN-GA",Chattanooga,TN-GA,"15,780",15780,"$7,381,362 ","$88,576,344 ","4,122",4122,"$2,382,516 ","$28,590,192 ","6,199",6199,"$30,253,914 ","$42,998,332 ",$578 ,"$5,293,023 ","26,257",26257,"$10,768,565 ","$129,222,780 ","4,122",4122,"$2,382,516 ","$28,590,192 ","10,472",10472,"$45,776,628 ","$72,636,800 ",$578 ,"$8,941,469 ",11658,22135
"Chicago-Naperville-Elgin, IL-IN-WI",Chicago-Naperville-Elgin,IL-IN-WI,"273,086",273086,"$190,837,728 ","$2,290,052,736 ","92,516",92516,"$85,392,268 ","$1,024,707,216 ","112,064",112064,"$849,289,600 ","$1,241,216,384 ",$923 ,"$95,681,016 ","443,836",443836,"$273,518,016 ","$3,282,216,192 ","92,516",92516,"$85,392,268 ","$1,024,707,216 ","183,743",183743,"$1,252,912,128 ","$2,035,141,248 ",$923 ,"$156,881,904 ",180570,351320
"Chico, CA",Chico,CA,"9,090",9090,"$6,363,528 ","$76,362,336 ","2,130",2130,"$1,188,540 ","$14,262,480 ","3,328",3328,"$25,541,956 ","$22,281,522 ",$558 ,"$2,841,127 ","13,825",13825,"$8,478,644 ","$101,743,728 ","2,130",2130,"$1,188,540 ","$14,262,480 ","5,223",5223,"$34,736,076 ","$34,972,216 ",$558 ,"$4,459,323 ",6960,11695
"Cincinnati, OH-KY-IN",Cincinnati,OH-KY-IN,"59,724",59724,"$30,964,806 ","$371,577,672 ","20,103",20103,"$12,906,126 ","$154,873,512 ","21,930",21930,"$123,808,296 ","$168,948,624 ",$642 ,"$18,724,044 ","81,667",81667,"$38,701,704 ","$464,420,448 ","20,103",20103,"$12,906,126 ","$154,873,512 ","31,042",31042,"$160,967,344 ","$239,150,192 ",$642 ,"$26,504,260 ",39621,61564
"Clarksville, TN-KY",Clarksville,TN-KY,"10,114",10114,"$5,268,193 ","$63,218,316 ","1,859",1859,"$1,007,578 ","$12,090,936 ","3,473",3473,"$19,289,954 ","$22,585,550 ",$542 ,"$2,964,909 ","14,252",14252,"$6,789,710 ","$81,476,520 ","1,859",1859,"$1,007,578 ","$12,090,936 ","5,041",5041,"$25,367,956 ","$32,787,216 ",$542 ,"$4,304,129 ",8255,12393
"Cleveland-Elyria, OH",Cleveland-Elyria,OH,"84,866",84866,"$40,273,144 ","$483,277,728 ","21,783",21783,"$14,202,516 ","$170,430,192 ","42,115",42115,"$214,156,752 ","$329,507,744 ",$652 ,"$35,958,204 ","133,201",133201,"$57,356,184 ","$688,274,208 ","21,783",21783,"$14,202,516 ","$170,430,192 ","66,306",66306,"$315,531,712 ","$518,776,512 ",$652 ,"$56,612,544 ",63083,111418
"Coeur d'Alene, ID",Coeur d'Alene,ID,"3,746",3746,"$2,214,750 ","$26,577,000 ","1,045",1045,"$590,425 ","$7,085,100 ","1,354",1354,"$9,180,764 ","$9,180,125 ",$565 ,"$1,156,060 ","6,039",6039,"$3,078,282 ","$36,939,384 ","1,045",1045,"$590,425 ","$7,085,100 ","2,258",2258,"$13,464,252 ","$15,311,842 ",$565 ,"$1,928,231 ",2701,4994
"College Station-Bryan, TX",College Station-Bryan,TX,"13,368",13368,"$10,463,064 ","$125,556,768 ","1,866",1866,"$1,026,300 ","$12,315,600 ","4,394",4394,"$38,369,624 ","$29,001,466 ",$550 ,"$3,751,779 ","19,277",19277,"$13,232,043 ","$158,784,516 ","1,866",1866,"$1,026,300 ","$12,315,600 ","6,368",6368,"$49,509,360 ","$42,031,872 ",$550 ,"$5,437,460 ",11502,17411
"Colorado Springs, CO",Colorado Springs,CO,"17,485",17485,"$12,231,174 ","$146,774,088 ","3,187",3187,"$2,540,039 ","$30,480,468 ","6,406",6406,"$50,374,372 ","$61,264,028 ",$797 ,"$5,469,243 ","34,310",34310,"$20,233,502 ","$242,802,024 ","3,187",3187,"$2,540,039 ","$30,480,468 ","12,237",12237,"$82,837,632 ","$117,036,760 ",$797 ,"$10,448,260 ",14298,31123
