,MSA,Number.of.Vouchers.if.Only.Renters.Participate.x,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.x,Actual.Number.of.Vouchers.Available.2020.x,Estimated.Monthly.Expenditure.x,Estimated.Annual.Expenditure.x,Number.of.Vouchers.x,Number.of.Vouchers.NUMERIC.x,Annual.Cost.of.Vouchers.x,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.x,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.x,Annual.Administrative.Cost.x,AMI.x,Number.of.Vouchers.if.Only.Renters.Participate.y,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.y,Actual.Number.of.Vouchers.Available.2020.y,Estimated.Monthly.Expenditure.y,Estimated.Annual.Expenditure.y,Number.of.Vouchers.y,Number.of.Vouchers.NUMERIC.y,Annual.Cost.of.Vouchers.y,Annual.Cost.of.Vouchers.Based.on.HUD.Average.Expenditure.y,HUD.Avg..Monthly.Expenditure.per.HH.by.MSA.y,Annual.Administrative.Cost.y,AMI.y
131,"Little Rock-North Little Rock-Conway, AR","24,921","$12,960,502 ","$155,526,024 ","6,965","$3,886,470 ","$46,637,640 ","9,111",9111,"$53,707,100 ","$61,005,740 ",$558 ,"$7,778,870 ",30,"39,931","$17,898,782 ","$214,785,384 ","6,965","$3,886,470 ","$46,637,640 ","14,578",14578,"$74,520,768 ","$97,616,704 ",$558 ,"$12,447,151 ",50
132,"Los Angeles-Long Beach-Anaheim, CA","596,074","$546,724,928 ","$6,560,699,136 ","120,365","$147,928,585 ","$1,775,143,020 ","216,395",216395,"$2,185,330,944 ","$3,191,387,136 ","$1,229 ","$184,759,840 ",30,"982,919","$805,164,544 ","$9,661,974,528 ","120,365","$147,928,585 ","$1,775,143,020 ","344,126",344126,"$3,190,977,536 ","$5,075,165,696 ","$1,229 ","$293,817,952 ",50
133,"Louisville/Jefferson County, KY-IN","42,336","$19,203,228 ","$230,438,736 ","14,009","$8,391,391 ","$100,696,692 ","16,104",16104,"$77,513,584 ","$115,757,728 ",$599 ,"$13,750,015 ",30,"68,382","$27,920,888 ","$335,050,656 ","14,009","$8,391,391 ","$100,696,692 ","25,715",25715,"$114,289,112 ","$184,840,176 ",$599 ,"$21,955,816 ",50
134,"Lubbock, TX","13,108","$9,230,983 ","$110,771,796 ","1,569","$969,642 ","$11,635,704 ","4,399",4399,"$34,303,244 ","$32,623,228 ",$618 ,"$3,755,938 ",30,"19,103","$12,087,508 ","$145,050,096 ","1,569","$969,642 ","$11,635,704 ","6,599",6599,"$46,773,024 ","$48,937,480 ",$618 ,"$5,634,211 ",50
135,"Lynchburg, VA","7,076","$3,598,537 ","$43,182,444 ","1,377","$725,679 ","$8,708,148 ","2,811",2811,"$14,561,258 ","$17,777,972 ",$527 ,"$2,400,223 ",30,"11,178","$4,802,918 ","$57,635,016 ","1,377","$725,679 ","$8,708,148 ","4,433",4433,"$19,857,824 ","$28,035,524 ",$527 ,"$3,785,106 ",50
136,"Madera, CA","5,057","$2,857,518 ","$34,290,216 ",773,"$471,530 ","$5,658,360 ","1,807",1807,"$11,357,553 ","$13,223,702 ",$610 ,"$1,542,422 ",30,"7,144","$3,722,833 ","$44,673,996 ",773,"$471,530 ","$5,658,360 ","2,534",2534,"$14,726,169 ","$18,548,306 ",$610 ,"$2,163,488 ",50
137,"Manchester-Nashua, NH","10,679","$7,263,609 ","$87,163,308 ","4,516","$4,064,400 ","$48,772,800 ","4,131",4131,"$30,896,410 ","$44,617,732 ",$900 ,"$3,527,321 ",30,"19,796","$11,471,230 ","$137,654,760 ","4,516","$4,064,400 ","$48,772,800 ","7,637",7637,"$50,496,024 ","$82,478,440 ",$900 ,"$6,520,455 ",50
138,"Mansfield, OH","4,014","$1,544,029 ","$18,528,348 ","1,879","$866,219 ","$10,394,628 ","1,426",1426,"$6,096,995 ","$7,886,469 ",$461 ,"$1,217,199 ",30,"6,521","$2,259,065 ","$27,108,780 ","1,879","$866,219 ","$10,394,628 ","2,384",2384,"$9,352,323 ","$13,188,699 ",$461 ,"$2,035,546 ",50
139,"McAllen-Edinburg-Mission, TX","28,382","$10,876,214 ","$130,514,568 ","6,482","$2,884,490 ","$34,613,880 ","10,727",10727,"$42,326,928 ","$57,282,152 ",$445 ,"$9,158,816 ",30,"34,388","$12,540,227 ","$150,482,724 ","6,482","$2,884,490 ","$34,613,880 ","13,345",13345,"$49,369,668 ","$71,264,288 ",$445 ,"$11,394,413 ",50
140,"Medford, OR","7,024","$4,315,826 ","$51,789,912 ","2,334","$1,391,064 ","$16,692,768 ","2,691",2691,"$17,815,158 ","$19,242,924 ",$596 ,"$2,297,232 ",30,"11,084","$6,155,960 ","$73,871,520 ","2,334","$1,391,064 ","$16,692,768 ","4,415",4415,"$26,841,224 ","$31,578,644 ",$596 ,"$3,769,877 ",50
141,"Memphis, TN-MS-AR","49,464","$28,878,508 ","$346,542,096 ","9,795","$5,896,590 ","$70,759,080 ","17,620",17620,"$113,047,072 ","$127,283,832 ",$602 ,"$15,043,772 ",30,"74,097","$38,168,176 ","$458,018,112 ","9,795","$5,896,590 ","$70,759,080 ","26,997",26997,"$153,052,960 ","$195,024,896 ",$602 ,"$23,050,140 ",50
142,"Merced, CA","9,904","$5,808,938 ","$69,707,256 ","2,843","$2,027,059 ","$24,324,708 ","3,400",3400,"$21,550,056 ","$29,087,116 ",$713 ,"$2,902,626 ",30,"13,261","$7,105,959 ","$85,271,508 ","2,843","$2,027,059 ","$24,324,708 ","4,718",4718,"$27,016,576 ","$40,367,200 ",$713 ,"$4,028,275 ",50
143,"Miami-Fort Lauderdale-West Palm Beach, FL","209,660","$176,065,024 ","$2,112,780,288 ","47,272","$55,591,872 ","$667,102,464 ","86,878",86878,"$777,493,888 ","$1,226,017,408 ","$1,176 ","$74,177,008 ",30,"364,928","$274,942,816 ","$3,299,313,792 ","47,272","$55,591,872 ","$667,102,464 ","143,446",143446,"$1,191,491,456 ","$2,024,314,496 ","$1,176 ","$122,475,896 ",50
144,"Michigan City-La Porte, IN","2,669","$1,267,081 ","$15,204,972 ",399,"$206,682 ","$2,480,184 ",991,991,"$5,288,340 ","$6,159,877 ",$518 ,"$846,101 ",30,"5,340","$2,041,329 ","$24,495,948 ",399,"$206,682 ","$2,480,184 ","1,992",1992,"$8,491,670 ","$12,384,346 ",$518 ,"$1,701,074 ",50
145,"Midland, TX","2,130","$1,955,937 ","$23,471,244 ",637,"$582,218 ","$6,986,616 ",950,950,"$8,512,719 ","$10,422,691 ",$914 ,"$811,360 ",30,"3,805","$2,873,562 ","$34,482,744 ",637,"$582,218 ","$6,986,616 ","1,549",1549,"$12,224,097 ","$16,989,224 ",$914 ,"$1,322,536 ",50
146,"Milwaukee-Waukesha-West Allis, WI","67,757","$36,959,112 ","$443,509,344 ","11,710","$6,604,440 ","$79,253,280 ","25,516",25516,"$159,066,224 ","$172,694,624 ",$564 ,"$21,786,110 ",30,"112,306","$54,550,244 ","$654,602,928 ","11,710","$6,604,440 ","$79,253,280 ","42,599",42599,"$240,756,640 ","$288,312,192 ",$564 ,"$36,371,724 ",50
147,"Minneapolis-St. Paul-Bloomington, MN-WI","108,852","$64,160,188 ","$769,922,256 ","23,780","$21,734,920 ","$260,819,040 ","37,921",37921,"$257,143,712 ","$415,919,616 ",$914 ,"$32,377,492 ",30,"187,701","$100,750,048 ","$1,209,000,576 ","23,780","$21,734,920 ","$260,819,040 ","63,707",63707,"$402,860,224 ","$698,743,232 ",$914 ,"$54,394,052 ",50
148,"Mobile, AL","16,415","$8,850,581 ","$106,206,972 ","7,214","$4,710,742 ","$56,528,904 ","5,896",5896,"$34,296,936 ","$46,200,528 ",$653 ,"$5,034,006 ",30,"24,273","$11,479,455 ","$137,753,460 ","7,214","$4,710,742 ","$56,528,904 ","9,125",9125,"$45,835,536 ","$71,503,352 ",$653 ,"$7,791,000 ",50
149,"Modesto, CA","15,239","$10,368,702 ","$124,424,424 ","4,540","$3,100,820 ","$37,209,840 ","5,592",5592,"$42,284,668 ","$45,832,044 ",$683 ,"$4,774,507 ",30,"24,345","$14,650,420 ","$175,805,040 ","4,540","$3,100,820 ","$37,209,840 ","9,163",9163,"$61,361,928 ","$75,100,400 ",$683 ,"$7,823,509 ",50
150,"Monroe, LA","8,122","$3,666,696 ","$44,000,352 ","2,803","$1,210,896 ","$14,530,752 ","3,168",3168,"$15,368,807 ","$16,421,573 ",$432 ,"$2,704,650 ",30,"9,344","$4,011,395 ","$48,136,740 ","2,803","$1,210,896 ","$14,530,752 ","3,659",3659,"$17,034,040 ","$18,968,296 ",$432 ,"$3,124,098 ",50
