State,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Households_Served_Expected_to_Use_Voucher_30,Percent_of_Vouchers_30,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Average_Monthly_Expenditure_per_Household_30,Annual_Administrative_Cost_30,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Annual_Cost_of_Vouchers_30,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Households_Served_Expected_to_Use_Voucher_50,Percent_of_Vouchers_50,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Average_Monthly_Expenditure_per_Household_50,Annual_Administrative_Cost_50,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Annual_Cost_of_Vouchers_50,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Voucher_Gap_30,Actual_HUD_Avg_Monthly_Expenditure_per_HH_by_State,Actual_Estimated_Annual_Expenditure,Voucher_Gap_50
New Jersey,103941,"103,941",2.60%,"$859,239,296 ","$1,172,453,632 ",$940 ,"$88,745,800 ","305,611",305611,"$4,682,064,000 ","$232,048,432 ","$2,784,581,184 ","83,246",83246,"$78,251,240 ","$939,014,880 ",164559,"164,559",2.50%,"$1,249,019,008 ","$1,856,228,352 ",$940 ,"$140,502,336 ","495,127",495127,"$7,576,058,880 ","$338,420,064 ","$4,061,040,768 ","83,246",83246,"$78,251,240 ","$939,014,880 ",222365,$940 ,"$939,014,880 ",411881
New Mexico,28094,"28,094",0.70%,"$147,621,712 ","$192,839,600 ",$572 ,"$23,987,234 ","60,661",60661,"$679,442,400 ","$30,110,978 ","$361,331,736 ","15,332",15332,"$8,769,904 ","$105,238,848 ",44513,"44,513",0.70%,"$208,757,664 ","$305,538,208 ",$572 ,"$38,005,768 ","94,602",94602,"$1,020,964,896 ","$41,912,580 ","$502,950,960 ","15,332",15332,"$8,769,904 ","$105,238,848 ",45329,$572 ,"$105,238,848 ",79270
New York,353670,"353,670",9.00%,"$2,791,883,520 ","$4,379,848,704 ","$1,032 ","$301,966,944 ","964,754",964754,"$12,123,730,944 ","$710,580,672 ","$8,526,968,064 ","268,037",268037,"$276,614,184 ","$3,319,370,208 ",537027,"537,027",8.30%,"$3,985,525,760 ","$6,650,546,688 ","$1,032 ","$458,519,328 ","1,484,892",1484892,"$18,809,081,856 ","$1,013,505,856 ","$12,162,070,272 ","268,037",268037,"$276,614,184 ","$3,319,370,208 ",696717,"$1,032 ","$3,319,370,208 ",1216855
North Carolina,119162,"119,162",3.00%,"$657,975,104 ","$825,079,936 ",$577 ,"$101,741,984 ","311,832",311832,"$3,210,905,088 ","$163,417,440 ","$1,961,009,280 ","69,928",69928,"$40,348,456 ","$484,181,472 ",199867,"199,867",3.10%,"$1,003,234,624 ","$1,383,877,888 ",$577 ,"$170,648,288 ","521,902",521902,"$5,195,377,536 ","$243,657,552 ","$2,923,890,624 ","69,928",69928,"$40,348,456 ","$484,181,472 ",241904,$577 ,"$484,181,472 ",451974
North Dakota,9739,"9,739",0.30%,"$50,486,836 ","$58,670,468 ",$502 ,"$8,315,643 ","25,043",25043,"$214,342,056 ","$11,903,808 ","$142,845,696 ","9,239",9239,"$4,637,978 ","$55,655,736 ",17406,"17,406",0.30%,"$84,296,152 ","$104,851,176 ",$502 ,"$14,861,053 ","45,589",45589,"$376,733,664 ","$19,560,452 ","$234,725,424 ","9,239",9239,"$4,637,978 ","$55,655,736 ",15804,$502 ,"$55,655,736 ",36350
Ohio,156534,"156,534",4.00%,"$788,336,768 ","$1,089,476,992 ",$580 ,"$133,650,336 ","399,773",399773,"$3,413,385,216 ","$186,847,488 ","$2,242,169,856 ","102,403",102403,"$59,393,740 ","$712,724,880 ",253757,"253,757",3.90%,"$1,165,108,992 ","$1,766,150,912 ",$580 ,"$216,660,528 ","637,822",637822,"$5,380,649,856 ","$266,979,664 ","$3,203,755,968 ","102,403",102403,"$59,393,740 ","$712,724,880 ",297370,$580 ,"$712,724,880 ",535419
Oklahoma,39640,"39,640",1.00%,"$191,630,368 ","$267,331,904 ",$562 ,"$33,844,996 ","109,441",109441,"$1,006,280,832 ","$51,709,772 ","$620,517,264 ","25,659",25659,"$14,420,358 ","$173,044,296 ",71359,"71,359",1.10%,"$306,945,280 ","$481,247,712 ",$562 ,"$60,927,360 ","195,689",195689,"$1,730,869,440 ","$80,478,080 ","$965,736,960 ","25,659",25659,"$14,420,358 ","$173,044,296 ",83782,$562 ,"$173,044,296 ",170030
Oregon,49388,"49,388",1.30%,"$368,788,832 ","$441,531,808 ",$745 ,"$42,168,260 ","129,264",129264,"$1,606,717,344 ","$87,313,128 ","$1,047,757,536 ","39,649",39649,"$29,538,505 ","$354,462,060 ",86595,"86,595",1.30%,"$571,981,184 ","$774,161,408 ",$745 ,"$73,935,880 ","227,282",227282,"$2,683,467,840 ","$133,782,928 ","$1,605,395,136 ","39,649",39649,"$29,538,505 ","$354,462,060 ",89615,$745 ,"$354,462,060 ",187633
Pennsylvania,132968,"132,968",3.40%,"$792,528,640 ","$1,029,169,984 ",$645 ,"$113,529,144 ","417,391",417391,"$4,641,225,600 ","$239,381,424 ","$2,872,577,088 ","94,013",94013,"$60,638,385 ","$727,660,620 ",223383,"223,383",3.50%,"$1,205,582,848 ","$1,728,982,272 ",$645 ,"$190,726,400 ","682,357",682357,"$7,675,915,776 ","$349,974,048 ","$4,199,688,576 ","94,013",94013,"$60,638,385 ","$727,660,620 ",323378,$645 ,"$727,660,620 ",588344
Rhode Island,18463,"18,463",0.50%,"$101,501,552 ","$188,098,992 ",$849 ,"$15,763,722 ","46,256",46256,"$439,840,512 ","$24,036,650 ","$288,439,800 ","11,103",11103,"$9,426,447 ","$113,117,364 ",29037,"29,037",0.50%,"$159,725,120 ","$295,824,384 ",$849 ,"$24,791,700 ","73,249",73249,"$717,094,656 ","$36,694,836 ","$440,338,032 ","11,103",11103,"$9,426,447 ","$113,117,364 ",35153,$849 ,"$113,117,364 ",62146
